Length,Time,Vehicle,Driver,Date,Notes
,7:40.100,Renault Mégane IV R.S. Trophy-R,Laurent Hurgon,2019-04-05,"Renault Sport conducted test, Bridgestone Potenza S007. 7:45.389 on the 20,832 m lap. FWD car record holder (before 2023 Civic Type R)."
"20,832 m",7:40.76,Lamborghini Gallardo Superleggera LP570-4,Sascha Bert,2010-11,"Auto Bild Sportscars (11/2010), Pirelli P Zero Corsa."
"20,832 m",7:40.89,"Audi R8 GT (Mk1, Typ 42, 2010)",Sascha Bert,2011-09,Auto Bild Sportscars (09/2011)
"20,832 m",7:41.23,"Porsche 911 Turbo S (997.2, facelift, 2010, 3.8 TT, 530 PS)",Sascha Bert,2010-11,"Auto Bild Sportscars (11/2010), Bridgestone Potenza RE 050."
,7:41.27,Chevrolet Camaro ZL1 (2012),Aaron Link,2011-10,General Motors conducted test.
"20,832 m",7:41.50,Chevrolet Corvette C6 ZR1,Sascha Bert,2009-08,Auto Bild Sportscars (08/2009)
,7:42,"BMW M4 CS (F82, 2017, 3.0 TT, 460 PS)",Christian Gebhardt,2017,"Sport Auto (11/2017), Michelin Pilot Sport Cup 2."
,7:42,"Porsche 911 GT3 (997.1, pre-facelift, N/A 3.6, 415 PS)",Walter Röhrl,2006,"Automobile (05/2006), Sport Auto (05/2006)"
"20,600 m",7:42,Lamborghini Murciélago SuperVeloce LP670-4,Horst von Saurma,2010,"Sport Auto (01/2010), Pirelli P Zero Corsa."
"20,832 m",7:42.253,Audi RS Q8,Frank Stippler,2019-09-13,"Audi conducted test, SUV lap time record (before Porsche Cayenne GT record), Pirelli P Zero."
,7:42.34,Porsche Taycan Turbo,Lars Kern,2019-08,"Porsche conducted test, pre-production model."
"20,600 m",7:42.39,"Porsche Cayman GT4 (981, 2015, N/A 3.8, 385 PS)",Christian Gebhardt,2015-04,"Sport Auto (05/2015), Michelin Pilot Sport Cup 2 N0."
"20,600 m",7:42.659,"Alpine A110S (2022, 1.8 T, 300 PS)",Christian Gebhardt,2022-10,"Sport Auto (10/2022), Michelin Pilot Sport Cup 2 (Semislicks), Aero Package."
"20,600 m",7:42.99,"BMW M2 CS (F87, 2020)",Christian Gebhardt,2020-08-12,"Sport Auto (09/2020), Michelin Pilot Sport Cup 2."
,7:43,Porsche 911 GT3 RS (996),Walter Röhrl,2004-10,"Motor Magazine (10/2004), Pirelli P Zero Corsa."
"20,832 m",7:43.65,Nissan GT-R,Sascha Bert,2010-11,"Auto Bild Sportscars (11/2010), Dunlop SP Sport 600 DSST."
"20,600 m",7:43.92,Aston Martin V8 Vantage (2019),Christian Gebhardt,2019-08-14,"Sport Auto (02/2020), Pirelli P Zero A6A."
"20,600 m",7:44,"Audi R8 Coupé 5.2 FSI Quattro (Mk1, Type 42, 2009, 525 PS)",Horst von Saurma,2009,"Sport Auto (09/2009), Pirelli P Zero Corsa."
,7:44,Bugatti EB110 SS,Loris Bicocchi,1993,Bugatti conducted test with test driver Loris Bicocchi.
"20,600 m",7:44,Pagani Zonda S 7.3 (2002),Horst von Saurma,2002,"Sport Auto (2002), Michelin Pilot Sport."
"20,600 m",7:44,"Porsche 911 Carrera S (991.1, pre-facelift, 2011, N/A 3.8, 400 PS)",Horst von Saurma,2011,"Sport Auto (12/2011), Pirelli P Zero."
"20,600 m",7:44,"Porsche 911 Turbo S (997.2, facelift, 2011, 3.8 TT, 530 PS)",Horst von Saurma,2011,"Sport Auto (03/2011), Bridgestone Potenza RE050A."
"20,600 m",7:44.13,"Mercedes-AMG C63 S Coupe (W205, facelift, 2019, 4.0 BT, 510 PS)",Christian Gebhardt,2019,"Sport Auto (03/2019), Michelin Pilot Super Sport."
"20,832 m",7:44.42,Mercedes-Benz SLS AMG,Sascha Bert,2010-11,"Auto Bild Sportscars (11/2010), Continental Sport Contact 5P."
"20,600 m",7:45,"Audi R8 Plus (Mk1, Type 42, 2013, N/A 5.2, 550 PS)",Horst von Saurma,2013,"Sport Auto (05/2013), Pirelli P Zero Corsa R02."
,7:45,Mercedes-Benz CLK63 AMG Black Series,Bernd Schneider,2007-05-01,"Car and Driver News, Pirelli P Zero Corsa."
"20,600 m",7:45.19,"Mercedes-AMG E63 S 4MATIC+ Estate (W213, 2017, 612 PS)",Christian Gebhardt,2017-09-22,"Sport Auto (12/2017), Michelin Pilot Sport 4S, fastest estate car."
"20,600 m",7:45.34,"Mercedes-AMG CLA45s 4MATIC+ (C118, 2022)",Christian Gebhardt,2022-02-02,"Sport Auto (03/2022), Pirelli P Zero Trofeo R MO1."
"20,600 m",7:45.59,Hyundai Ioniq 5 N,Christian Gebhardt,2024-01-18,"Sport Auto (01/2024), Pirelli P Zero Corsa."
"20,600 m",7:46,Mercedes-Benz C63 AMG Coupe Black Series,Horst von Saurma,2011,"Sport Auto (01/2012), Dunlop Sport Maxx Race M0."
"20,600 m",7:46,"Porsche 911 GT2 (996.1, 2001, 462 PS)",Horst von Saurma,2001,Sport Auto (06/2001)
"20,600 m",7:46,Lamborghini Gallardo LP570-4 Superleggera,Horst von Saurma,2007,"Sport Auto (09/2007), Pirelli P Zero Corsa."
"20,600 m",7:46.70,Porsche 718 Cayman S (982),Christian Gebhardt,2016-09,"Sport Auto (10/2016), Pirelli P Zero N1."
"20,600 m",7:47,Porsche 911 GT3 RS (996),Horst von Saurma,2004,"Sport Auto (3/2004), Pirelli P Zero Corsa."
"20,600 m",7:47,"Porsche 911 Turbo (997.2, facelift, 2011, 3.8 TT, 500 PS)",Horst von Saurma,2011,"Sport Auto (03/2011), Bridgestone Potenza RE050A."
"20,600 m",7:47,Ferrari 599 GTB Fiorano,Horst von Saurma,2007,"Sport Auto (08/2007), Pirelli P Zero."
"20,600 m",7:47,Lamborghini Murciélago LP640,Horst von Saurma,2007,"Sport Auto (01/2007), E-gear, Pirelli P Zero Corsa."
"20,600 m",7:47,Wiesmann GT MF5,Horst von Saurma,2010-07,"Sport Auto (07/2010), Michelin Pilot Sport Cup+."
,7:47.19,Volkswagen Golf GTI Clubsport S (2016),,2016-12-07,"Volkswagen conducted test, special Nürburgring set-up. FWD car record (before 2017 Civic Type R), video confirmed."
"20,832 m",7:47.31,"Volkswagen Golf VIII R 333 ""20 Years"" (Mk8, 333 PS, 2022)",Benjamin Leuchter,2022-09-21,"Volkswagen conducted test, the fastest Golf R of all times, R-Performance Package, R-Performance Torque Vectoring. Bridgestone tyres. Video confirmed."
,7:48,"BMW M3 GTS (E92, 2010)",Horst von Saurma,2010,"Sport Auto Spezial (09/2010), Pirelli P Zero Corsa."
"20,600 m",7:48,Porsche 911 GT3 RS (997.1),Horst von Saurma,2007,"Sport Auto (03/2007), Michelin Pilot Sport Cup."
"20,600 m",7:48,Porsche 911 GT3 (997.1),Horst von Saurma,2006,"Sport Auto (07/2006), Michelin Pilot Sport Cup."
"20,600 m",7:48.13,Lotus Exige Cup 380 (2017),Christian Gebhardt,2017-07-27,"Sport Auto (01/2018), Michelin Pilot Sport Cup 2."
"20,600 m",7:48.40,"Audi TT RS (8S, 2017, 2.5 T, 400 PS)",Christian Gebhardt,2017-05-17,"Sport Auto (10/2017), Pirelli P Zero Corsa."
"20,600 m",7:48.80,Mercedes-AMG A45 S 4MATIC+ (W177),Christian Gebhardt,2019-10-24,"Sport Auto (04/2020), Pirelli P Zero Trofeo R MO1."
"20,600 m",7:49,"BMW Alpina B3 Coupe GT3 (E92, 2012, 3.0 T, 408 PS)",Horst von Saurma,2012,"Sport Auto (10/2012), Michelin Pilot Sport Cup."
"20,600 m",7:49,"Chevrolet Corvette Z06 (C6, 2007, N/A 7.0, 512 PS)",Horst von Saurma,2007-06-22,"Sport Auto (06/2007), Goodyear Eagle F1 Supercar EMT."
,7:49.21,Volkswagen Golf GTI Clubsport S,Benny Leuchter,2016-04-20,"Volkswagen conducted test, special Nürburgring set-up. FWD car record, video confirmed."
,7:49.369,Mercedes-Benz GLC63s AMG 4MATIC+ (X253),Markus Hofbauer,2018-11-22,"Mercedes-Benz conducted test, officially measured and notarised record lap time as the fastest series-production SUV (before Audi RS Q8 lap time record)."
"20,600 m",7:50,"Aston Martin V8 Vantage GT8 (2017, N/A 4.7, 446 PS)",Christian Gebhardt,2017-02,"Sport Auto (3/2017), Michelin Pilot Sport Cup 2."
"20,600 m",7:50,"BMW M3 CSL (E46, 2004)",Horst von Saurma,2003,"Sport Auto (08/2003), Michelin Pilot Sport Cup."
"20,600 m",7:50,Lamborghini Murciélago,Horst von Saurma,2002,Sport Auto (06/2002)
"20,600 m",7:50,"Porsche 911 Carrera S (997.2, 2009)",Horst von Saurma,2008,"Sport Auto (08/2008), Michelin Pilot Sport Cup N0, PCCB, PDK, Sport Chrono Plus."
,7:50.230,"Mercedes-Benz SLS AMG Coupe Electric Drive (2013, 751 PS)",Markus Hofbauer,2013-06-03,"Mercedes-Benz conducted test. 7:56.234 on the 20,832 m lap. Small-scale production car (9 examples were produced). The fastest lap on electric supercar (before NIO EP9 lap record)."
"20,600 m",7:51,Mercedes-Benz SL65 AMG Black Series,Horst von Saurma,2009,"Sport Auto (05/2009), Dunlop SportMaxx GT."
,7:51,"Volkswagen Golf VIII R (Mk8, 2020, 320 PS)",Gerd Stegmaier,2020,Auto motor und sport
,7:51.7,Alfa Romeo Stelvio Quadrifoglio (2018),Fabio Francia,2017,"Alfa Romeo conducted test. Pirelli tyre. Equipped with OEM optional racing seat, harness and carbon-ceramic brakes. Equipped with roll cage."
"20,600 m",7:52,Aston Martin V12 Vantage S,Horst von Saurma,2014,"Sport Auto (8/2014), Pirelli P Zero Corsa, 8-speed Sportshift III automatic."
"20,600 m",7:52,"BMW M4 (F82, 2014, 431 PS)",Horst von Saurma,2014,"Sport Auto (07/2014), Michelin Pilot Super Sport."
"20,600 m",7:52,"Ford GT (Mk1, 2006, 550 PS)",Horst von Saurma,2006,"Sport Auto (02/2006), Goodyear Eagle F1 Supercar."
"20,600 m",7:52,"Lamborghini Gallardo E-Gear (pre-facelift, 2003, 500 PS)",Horst von Saurma,2003,"Sport Auto (12/2003), Pirelli P Zero Corsa, E-Gear automatic."
"20,600 m",7:52,"Lamborghini Gallardo LP560-4 (2008, 560 PS)",Horst von Saurma,2008,"Sport Auto (11/2008), Pirelli P Zero Corsa."
"20,600 m",7:52,Mercedes-Benz SLR McLaren,Klaus Ludwig,2004,"Sport Auto (06/2004), Michelin Pilot Sport 2."
"20,600 m",7:52,"Porsche Boxster Spyder (981, 2015, N/A 3.8, 375 PS)",Christian Gebhardt,2015,"Sport Auto (11/2015), Pirelli P Zero."
"20,600 m",7:52,"Porsche Panamera Turbo S (970, pre-facelift, 2012, 4.8 TT, 550 PS)",Horst von Saurma,2012,"Sport Auto (04/2012), PDK, Michelin Pilot Sport."
"20,600 m",7:52.11,"BMW Alpina B4 Gran Coupè (G26, 2023, 3.0 TT, 495 PS)",Christian Gebhardt,2023-01-12,"Sport Auto (02/2023), Pirelli P Zero ALP."
"20,600 m",7:52.17,Toyota GR Supra (A90/J29),Christian Gebhardt,2019-08-22,"Sport Auto (01/2020), Michelin Pilot Super Sport."
"20,600 m",7:52.36,BMW M2 Competition (F87),Christian Gebhardt,2018-09-12,"Sport Auto (11/2018), Michelin Pilot Super Sport."
"20,832 m",7:52.39,Wiesmann GT MF5,Sascha Bert,2010-10,"Auto Bild Sportscars (11/2010), Michelin Pilot Sport Cup."
"20,600 m",7:53.26,"BMW Alpina B3 (G20, 2021, 3.0 TT, 462 PS)",Christian Gebhardt,2020-12-17,"Sport Auto (01/2021), Pirelli P Zero ALP."
"20,600 m",7:53.69,"Volkswagen Golf VIII R ""20 Years"" (Mk8, 2023, 333 PS)",Christian Gebhardt,2023,"Sport Auto (05/2023), Bridgestone Potenza Race."
"20,600 m",7:54,"Mercedes-Benz CLK DTM AMG (W209, 2004, 582 PS)","Marcus Schurig (chief-editor of ""Sport Auto"" magazine)",2005-02,"Sport Auto (03/2005), cold track conditions, Dunlop SP Sport Super Race semi-slicks, 5-speed AMG SPEEDSHIFT automatic."
"20,600 m",7:54,Porsche 911 GT3 (996),Horst von Saurma,2003,"Sport Auto (6/2003), Michelin Pilot Sport N2."
"20,600 m",7:54,"Porsche 911 Turbo (997.1, pre-facelift, 2007, 3.6 TT, 480 PS)",Horst von Saurma,2007,"Sport Auto (05/2007), Michelin Pilot Sport Cup N0."
"20,600 m",7:54,"BMW M5 Competition (F10, 2014, 575 PS)",Horst von Saurma,2014,"Sport Auto (12/2014), Michelin Pilot Super Sport."
,7:54.36,Renault Mégane III RS 275 Trophy-R,Laurent Hurgon,2014-06-16,Test realised by Renault Sport
"20,600 m",7:55,"Mercedes-Benz E63 AMG S 4MATIC (W212R, second facelift, 2013, B/T 5.5,  585 PS)",Horst von Saurma,2013-09,Sport Auto (09/2013)
,7:55,Caterham R500 Superlight,Robert Nearn,2000,Evo Magazine (07/2000)
"20,600 m",7:55,Ferrari F430 F1,Horst von Saurma,2005,"Sport Auto (01/2006), Pirelli P Zero Corsa."
"20,600 m",7:55.12,Renault Mégane IV R.S. Trophy-R (No. 25 of 500),Christian Gebhardt,2019,"Sport Auto (06/2019), Bridgestone Potenza S007 RS, carbon-ceramic brake package."
"20,600 m",7:55.409,BMW Z4 M40i (G29),Christian Gebhardt,2018-09-12,"Sport Auto (10/2018), Michelin Pilot Super Sport."
,7:56,Chevrolet Corvette Z06 (C5),Dave Hill,,crossedflags.com
"20,600 m",7:56,"Ferrari California (Type F149, 2010, 460 PS)",Horst von Saurma,2010,"Sport Auto (06/2010), Pirelli P Zero."
"20,600 m",7:56,Ferrari 360 Challenge Stradale F1,Horst von Saurma,2004,"Sport Auto (02/2004), sport tyres."
"20,600 m",7:56,"Porsche 911 Turbo (996, 2000, 3.6 TT, 420 PS)",Horst von Saurma,2000,Sport Auto (06/2000)
,7:56,"Porsche Panamera Turbo (970, pre-facelift, 2009, 4.8 TT, 500 PS)",Walter Röhrl,2009,Motor Trend (07/2009)
"20,600 m",7:56.10,"Alpine A110 S (2020, 1.8 T, 292 PS)",Christian Gebhardt,2020,"Sport Auto (10/2020), Michelin Pilot Sport 4."
"20,832 m",7:56.50,"Mercedes-Benz CLK DTM AMG (W209, 2006, 582 PS)",Klaus Ludwig,2006-03,"Auto Bild Sportscars (03/2006), semi-slicks, 5-speed AMG SPEEDSHIFT automatic."
"20,832 m",7:56.65,"Lamborghini Gallardo SE (2006, 520 PS)",Tom Kristensen,2006-03,"Auto Bild Sportscars (03/2006), E-Gear automatic."
,7:56.73,Honda NSX-R (NA2),Motoharu Kurosawa,2002,"Best Motoring Video Special Vol. 55 ""NA2 NSX-R"" (2002), video confirmed"
"20,600 m",7:57,"Volkswagen Golf VII GTI Clubsport S (Mk7, 2016, 2.0 T, 310 PS)",Christian Gebhardt,2016,"Sport Auto (07/2016), Michelin Pilot Sport Cup 2."
,7:58,BMW M2 (F87),Jörg Weidinger [de],2015-12,"Car Magazine (12/2015), Michelin Pilot Super Sport."
"20,600 m",7:58.29,"Ford Mustang Mach 1 (Mk6, 2021, N/A 5.0, 460 PS)",Christian Gebhardt,2021-11-03,"Sport Auto (12/2021), Michelin Pilot Sport 4S."
,7:58.4,SEAT León Mk3 Cupra,Jordi Gené,2014-03,SEAT conducted test
"20,600 m",7:58.52,Audi RS4 Avant (B9),Christian Gebhardt,2018-07-12,Sport Auto (08/2018)
"20,600 m",7:58.59,"BMW M240i xDrive (G42, 2022, 3.0 T, 374 PS)",Christian Gebhardt,2022,"Sport Auto (07/2022), Michelin Pilot Sport 4S."
"20,600 m",7:58.99,"Cupra Formentor VZ5 (2023, 390 PS)",Christian Gebhardt,2023,"Sport Auto (01/2023), Goodyear Eagle F1 SuperSport."
"20,600 m",7:59,Audi RS5 Coupe (8T),Horst von Saurma,2012-06,"Sport Auto (06/2012), Pirelli P Zero."
"20,600 m",7:59,"Lotus Evora 400(2016, 3.5 S/C, 406 PS)",Christian Gebhardt,2016,"Sport Auto (03/2016), Pirelli P Zero Trofeo R."
"20,600 m",7:59,"Mercedes-Benz CLS63 AMG (W218, facelift, 2013)",Horst von Saurma,2013-07,"Sport Auto (07/2013), facelift model with 557 PS, Continental Conti Sport Contact 5P."
,7:59,Porsche 911 Carrera S (996),Walter Röhrl,2004,"'Wheels' magazine (06/2004), PASM setting ""Performance"""
,7:59.32,Cadillac CTS-V (2009),John Heinricy,2008-05-09,"General Motors conducted test, video confirmed"
,7:59.74,Porsche Cayenne Turbo S (958.2),,,Porsche conducted test
,7:59.887,Nissan Skyline GT-R R33,Dirk Schoysman,1996,"Nissan conducted test, roll cage, controversial"
"20,600 m",8:00,"BMW Alpina B4 S Biturbo Coupe (F32, 2018, 3.0 BT, 440 PS)",Christian Gebhardt,2017,"Sport Auto (04/2018), Michelin Pilot Sport 4S."
"20,600 m",8:01,"BMW M2 (F87, 2016, 3.0 T, 370 PS)",Christian Gebhardt,2016,"Sport Auto (05/2016), Michelin Pilot Super Sport."
"20,832 m",8:01,Bugatti EB110 SS,,1993,"Sport Auto (10/1993), Michelin Pilot SX MXX3 AP."
"20,600 m",8:01,"Honda Civic Type R (FK8, 2018, 2.0 T, 320 PS)",Christian Gebhardt,2018,"Sport Auto (02/2018), Continental Sport Contact 6."
"20,600 m",8:01,Mercedes-Benz C63 AMG Coupe Performance Package (W204),Horst von Saurma,2013-03,"Sport Auto (03/2013), Continental Conti SportContact 5P."
"20,832 m",8:01.72,Nissan Skyline GT-R R33,Motoharu Kurosawa,1995,Best Motoring Video Special Vol. 32
"20,832 m",8:01.84,"Lamborghini Gallardo Spyder (2007, 520 PS)",Wolfgang Kaufmann,2007-05,"Auto Bild Sportscars (06/2007), 6-speed E-Gear automatic."
,8:01.90,Audi R8 4.2 FSI R-Tronic,Sascha Bert,2008-10-27,Auto Bild Sportscars (11/2008)
"20,600 m",8:02,Aston Martin DBS,Horst von Saurma,2009,"Sport Auto (01/2009), Pirelli P Zero."
"20,600 m",8:02,"Volkswagen Golf VIII R (Mk8, 2022, 320 PS)",Christian Gebhardt,2022,"Sport Auto (04/2022), Bridgestone Potenza S005."
"20,600 m",8:02.66,"Volkswagen Golf VIII GTI Clubsport ""45 Jähre GTI"" (Mk8, 2021, 2.0 T, 300 PS)",Christian Gebhardt,2021-10-06,"Sport Auto (11/2021), Michelin Pilot Sport Cup 2 N0."
"20,600 m",8:03,"Aston Martin V8 Vantage (Mk1, 2005, 385 PS)",Horst von Saurma,2005,Sport Auto (10/2005)
"20,600 m",8:03,Jaguar XKR-S,Horst von Saurma,2012,"Sport Auto (03/2012), Pirelli P-Zero, six-speed automatic."
"20,600 m",8:03,"Mercedes-Benz CLS63 AMG Performance Package (W218, pre-facelift, 2011)",Horst von Saurma,2011-05,"Sport Auto (05/2011), pre-facelift model with 557 PS, Continental Conti Sport Contact 5P."
"20,600 m",8:03,"Porsche 911 GT3 (996.1, pre-facelift, 1999, 360 PS)",Horst von Saurma,1999,Sport Auto (08/1999)
"20,600 m",8:03.33,"Alpine A110 (2019, 1.8 T, 252 PS)",Christian Gebhardt,2019-05-15,"Sport Auto (06/2019), Michelin Pilot Sport 4."
"20,832 m",8:03.86,Honda NSX-R (NA1),Motoharu Kurosawa,1992/10/19,"Best Motoring Video Special Vol. 25 ""NA1 NSX-R"" (1995), video confirmed"
"20,600 m",8:03.86,"Mini Cooper S JCW GP (Mk3, F56, 2020, 2.0 T, 306 PS)",Christian Gebhardt,2020-07-14,"Sport Auto (08/2020), Hankook Ventus TD."
"20,600 m",8:04,Lamborghini Diablo GT,Horst von Saurma,2000,"Sport Auto (07/2000), Pirelli P Zero."
"20,600 m",8:04,"Audi R8 4.2 FSI Quattro (Mk1, Type 42, 2007, N/A 4.2, 420 PS)",Horst von Saurma,2007,"Sport Auto (07/2007), Pirelli P Zero Corsa, manual transmission."
"20,600 m",8:04,"Mercedes-Benz A45 AMG 4MATIC (W176, facelift)",Christian Gebhardt,2016-02,"Sport Auto (02/2016), facelift model with 381 PS, Michelin Pilot Sport Cup 2R."
"20,600 m",8:04,"Porsche Boxster S (981.1, pre-facelift, 2012, N/A 3.4, 315 PS)",Horst von Saurma,2012,"Sport Auto (07/2012), Pirelli P Zero, PDK, PCCB, PASM."
,8:04,"Volkswagen Golf VII R (Mk7, 1-st faselift, 2018, 310 PS)",Horst von Saurma,2018-06-27,"Autozeitung (15/2018), Michelin Pilot Sport Cup 2."
,8:04.40,Alfa Romeo 4C,Horst von Saurma,2013-09-12,"Sport Auto (10/2013), Alfa Romeo conducted test. Pirelli P Zero Trofeo."
,8:04.52,Porsche Carrera 4S PDK (997),Sascha Bert,2008-10-27,Auto Bild Sportscars (11/2008)
"20,600 m",8:04.92,"VW Golf VII GTI TCR (Mk7, 2-nd facelift, 2019, 2.0 T 290 PS)",Christian Gebhardt,2019-07-03,"Sport Auto (12/2019), Michelin Pilot Sport Cup 2 N0."
"20,600 m",8:05,Audi RS6 Avant (C7),Horst von Saurma,2014,"Sport Auto (01/2014), Pirelli P Zero R 01."
"20,600 m",8:05,BMW M3 (E92),Horst von Saurma,2007-12,"Sport Auto (12/2007), Michelin Pilot Sport Cup+."
"20,600 m",8:05,BMW M5 (F10),Horst von Saurma,2012,"Sport Auto (09/2012), Michelin Pilot Supersport."
"20,600 m",8:05,Ferrari 575M Maranello,Horst von Saurma,2002,Sport Auto (12/2002)
"20,600 m",8:05,Mercedes-Benz CLK63 Black Series,Horst von Saurma,2007,"Sport Auto (03/2008), Pirelli P Zero Corsa."
"20,600 m",8:05,"Porsche 911 Carrera S (997.1, 2005, N/A 3.8, 355 PS)",Horst von Saurma,2005,Sport Auto (05/2005)
"20,600 m",8:05,"Porsche Cayman S (981.1, 2013, PDK, N/A 3.4, 325 PS)",Horst von Saurma,2013,"Sport Auto (06/2013), Pirelli P Zero, PDK automatic."
"20,600 m",8:05.19,"Hyundai i30 N Performance Package (PD, facelift, 2022, 2.0 T, 280 PS)",Christian Gebhardt,2021-12-08,"Sport Auto (01/2022), Pirelli P Zero Trofeo R."
"20,600 m",8:06,"Mercedes-Benz SL55 AMG (R230, 2003, 500 PS)",Horst von Saurma,2003,"Updated data of Supertest from Sport Auto (04/2002) (In Supertest of Aston Martin DB7 GT, Sport Auto (07/2003)) of facelift version Mercedes-Benz SL55 AMG (R230, 500 PS) with speed limiter on 300 km/h in magazine category — Sport Auto (07/2003)"
,8:06.01,Subaru WRX STi Spec-C,Motoharu Kurosawa,2004,Best Motoring Video 'NISMO Beast Unleashed'
"20,600 m",8:06.29,"Ford Focus RS (Mk III, 2016, 2.5 T, 350 PS)",Christian Gebhardt,2017,"Sport Auto (01/2017), Michelin Pilot Sport Cup 2."
,8:06.56,Honda NSX (NA1),Fredrik Sørlie,2016-09,"BTG, Kumho HU36, D2 coilovers."
"20,600 m",8:07,Ferrari 550 Maranello,Horst von Saurma,1998,Sport Auto (06/1998)
,8:07,Ford Mustang GT Performance Pack,Horst von Saurma,2015,Autozeitung Sport & Luxury Cars (03/2015)
"20,600 m",8:07,"Volkswagen Golf VII GTI Clubsport (Mk7, 2016, 2.0 T, 265 PS)",Christian Gebhardt,2016,"Sport Auto (07/2016), Michelin Pilot Sport Cup."
"20,832 m",8:07.76,"BMW M6 Coupe (E63, 2006, 507 PS)",Prinz Leopold von Bayern,2006-03,"Auto Bild Sportscars (03/2006), 7-speed SMG-III automatic."
,8:07.97,Renault Mégane Renault Sport 265 Trophy,Laurent Hurgon,2011-06-17,"Renault Sport conducted test, Bridgestone RE 050A (235/35 R19)."
,8:08.73,Porsche 911 Turbo 3.3,Motoharu Kurosawa,1991,Best Motoring conducted test
"20,600 m",8:09,Audi RS4 (B7),Horst von Saurma,2006,Sport Auto (06/2006)
"20,600 m",8:09,"Audi TT RS (Mk2, 8J, 2010, 2.5 T, 340 PS)",Horst von Saurma,2010,"Sport Auto (02/2010), Michelin Pilot Sport."
"20,600 m",8:09,Ferrari 360 Modena,Horst von Saurma,1999,Sport Auto (10/1999)
"20,600 m",8:09,"BMW M6 Coupe (E63, 2005, 507 PS)",Horst von Saurma,2005,"Sport Auto (12/2005), sport tyres, 7-speed SMG-III automatic, 259 km/h speed limiter."
"20,600 m",8:09,"Honda NSX-R (NA2, 2002, facelift, 280 PS)",Horst von Saurma,2002,"Sport Auto (08/2002), sport tyres, suspension modification."
"20,600 m",8:09,Lamborghini Diablo SuperVeloce,Horst von Saurma,1997,"Sport Auto (12/1997), Pirelli P Zero Asimmetrico."
"20,600 m",8:10,Chrysler Viper GTS,Horst von Saurma,1997,Sport Auto (10/1997)
"20,600 m",8:10,"Donkervoort D8 180R (2001, 1.8T, 240 PS",Horst von Saurma,2001,Sport Auto (03/2001)
"20,600 m",8:10,"KTM X-Bow (2010, 2.0 T, 240 PS)",Horst von Saurma,2010,"Sport Auto (04/2010), Toyo Proxess R888."
,8:10,Porsche Boxster S (987),,,"Porsche conducted test, reported by Süddeutsche Zeitung"
,8:10,Porsche Cayman R (987.2),Horst von Saurma,2011,"Sport Auto (10/2011), Bridgestone Potenza RE50A. Lap time with Continental Conti Force Contact – 8 min. 06 sec."
"20,600 m",8:10,BMW Alpina B6 S (E63),Horst von Saurma,2008,Sport Auto (05/2008)
"20,600 m",8:10,"Mercedes-Benz A 45 AMG|Mercedes-Benz A45 AMG 4MATIC (W176, pre-facelift)",Horst von Saurma,2014-03,"Sport Auto (03/2014), pre-facelift model with 360 PS, Dunlop SportMaxx RT."
"20,600 m",8:10,"Mercedes-Benz E63 AMG (W212, pre-facelift, 2010, N/A 6.2, 525 PS)",Horst von Saurma,2010,"Sport Auto (03/2010), Continental Conti Sport Contact 5."
"20,832 m",8:11.1,"Lamborghini Gallardo Spyder (2007, 520 PS)",Dierk Möller-Sonntag,2007,"Auto Bild Sportscars (11/2007), Pirelli P Zero Corsa."
,8:11.16,Mitsubishi Lancer Evo IX,Takayuki Kinoshita,,"Best Motoring Video 14. Wet conditions, not a true time attack.[citation needed]"
"19,100 m",8:11.72,Tesla Model 3 Performance,,2020,L'argus (09/2020) Bridge-to-Gantry time.
"20,600 m",8:12,"Mercedes-Benz SL55 AMG (R230, 2002, 476 PS)",Horst von Saurma,2002,"Sport Auto (04/2002), Pirelli P Zero Rosso, 476 PS version, standard speed limiter to 250 km/h."
"20,600 m",8:12,"Renault Megane IV RS (Mk IV, 2019, 280 PS)",Christian Gebhardt,2019,"Sport Auto (01/2019), Bridgestone Potenza S001."
"20,832 m",8:12.8,"Porsche 911 Turbo Cabrio (997.1, pre-facelift, 2007, 480 PS)",Dierk Möller-Sonntag,2007,"Auto Bild Sportscars (11/2007), Michelin Pilot Sport 2."
"20,600 m",8:13,BMW M5 (E60),Horst von Saurma,2004,"Sport Auto (12/2004), Continental Conti Sport Contact 2."
"20,600 m",8:13,Dodge Viper SRT-10 roadster (ZB),Horst von Saurma,2007,"Sport Auto (2007), Michelin Pilot Sport."
"20,600 m",8:13,Lotus Esprit Sport 350,Horst von Saurma,1999,Sport Auto (05/1999)
"20,600 m",8:13,Mercedes-Benz C63 AMG (W204),Horst von Saurma,2008,"Sport Auto (02/2009), Michelin Pilot Sport 2, Performance Package (LSD, composite brakes, sport suspension)."
,8:13,Porsche Cayenne Turbo (958),,2012,"Porsche conducted test, air suspension, PDCC, no PASM."
"20,600 m",8:14,Artega GT,Horst von Saurma,2010,"Sport Auto (12/2010), Continental Conti ForceContact, DSG, optional sport suspension."
"20,600 m",8:14,"BMW Alpina B3 Biturbo (F30, 2014, 3.0 BT, 410 PS)",Horst von Saurma,2014,"Sport Auto (05/2014), Michelin Pilot Super Sport."
"20,600 m",8:14,"BMW Alpina B3 Biturbo Coupé (E92, 2008, 3.0 BT, 360 PS)",Horst von Saurma,2008,"Sport Auto (12/2008), optional LSD and 19 inch wheels."
